Frontiers in Pediatrics, Life Sciences
Chinese Chemical Letters, Physical Sciences
IEICE Electronics Express, Engineering & Technology
The Journal of Obstetrics and Gynecology of India, Life Sciences
Antimicrobial Stewardship & Healthcare Epidemiology, Life Sciences
The Oncologist, Multidisciplinary
International Journal of Radiation Oncology*Biology*Physics, Physical Sciences
BMJ Oncology, Life Sciences
Clinical Pharmacology in Drug Development, Life Sciences
Clinical Genitourinary Cancer, Life Sciences
Oncology and Therapy, Life Sciences
Advances in Therapy, Multidisciplinary
Molecular Oncology, Life Sciences
Future Oncology, Life Sciences
Cancer Cytopathology, Life Sciences
Diagnostic Cytopathology, Life Sciences
Laboratory Investigation, Multidisciplinary
Histopathology, Life Sciences
npj Precision Oncology, Life Sciences
Cardio-Oncology, Life Sciences
BJC Reports, Multidisciplinary
Oncogene, Multidisciplinary
Veterinary and Comparative Oncology, Life Sciences
World Journal of Urology, Engineering & Technology
European Urology, Multidisciplinary
Journal of the Society for Cardiovascular Angiography & Interventions, Engineering & Technology
npj Vaccines, Multidisciplinary
Penamas, Multidisciplinary
Dental Press Journal of Orthodontics, Engineering & Technology
European Journal of General Dentistry, Engineering & Technology
International Journal of Clinical Pediatrics, Life Sciences
Journal of Environmental Economics and Management, Business & Economics
Sustainable Production and Consumption, Engineering & Technology
Social Indicators Research, Social Sciences
Journal of environmental chemical engineering, Engineering & Technology
Journal of Earth and Marine Technology (JEMT), Humanities
Zygote, Multidisciplinary
European Journal of Cancer, Engineering & Technology
JCI Insight, Multidisciplinary
Brain Behavior & Immunity - Health, Engineering & Technology
International Journal of Environmental Research and Public Health, Life Sciences
Brain Sciences, Engineering & Technology
Healthcare, Life Sciences
Light Science & Applications, Multidisciplinary
BMC Genomics, Life Sciences
Synthetic and Systems Biotechnology, Engineering & Technology
Food Science & Nutrition, Life Sciences
Radiology Case Reports, Multidisciplinary
Communications Engineering, Social Sciences
Nano-Micro Letters, Engineering & Technology
Fuel Processing Technology, Engineering & Technology
Biomedical Technology, Engineering & Technology
Global Ecology and Conservation, Life Sciences
Carbon and Hydrogen, Multidisciplinary
Materials & Design, Physical Sciences
Biochemical Genetics, Physical Sciences
The Indian Journal of Animal Sciences, Multidisciplinary
Intensive and Critical Care Nursing, Multidisciplinary
Journal of Occupational Health, Life Sciences
SANGYO EISEIGAKU ZASSHI, Multidisciplinary
Journal of Environmental Engineering (Transactions of AIJ), Engineering & Technology
Indoor Environments, Multidisciplinary
Acute Medicine & Surgery, Life Sciences
International Journal of Advanced Computer Science and Applications, Engineering & Technology
European journal of medical research, Life Sciences
npj Biofilms and Microbiomes, Multidisciplinary
Reviews in Cardiovascular Medicine, Life Sciences
Epilepsia Open, Multidisciplinary
IET Image Processing, Multidisciplinary
Clinical and Experimental Pharmacology and Physiology, Life Sciences
BMC Urology, Multidisciplinary
Hematological Oncology, Life Sciences
Journal of Psycholinguistic Research, Engineering & Technology
Key Issues of Contemporary Linguistics, Humanities
Philosophy Ethics and Humanities in Medicine, Humanities
BMJ Paediatrics Open, Multidisciplinary
Tropical Medicine and Infectious Disease, Life Sciences
Journal of health economics and outcomes research, Business & Economics
Journal of Advanced Ceramics, Engineering & Technology
International Journal of Rheumatic Diseases, Engineering & Technology
BMC Anesthesiology, Multidisciplinary
Frontiers in Medicine, Life Sciences
Nature and Science of Sleep, Multidisciplinary
Scientia Horticulturae, Multidisciplinary
Bioinformatics, Engineering & Technology
Journal of Nonverbal Behavior, Engineering & Technology
NeuroImmunoModulation, Life Sciences
Biology, Life Sciences
Atmospheric chemistry and physics, Physical Sciences
Skin Health and Disease, Life Sciences
Transactions of the Institute of British Geographers, Engineering & Technology
People and Nature, Multidisciplinary
Next research., Multidisciplinary
Discover Sustainability, Engineering & Technology
City and Environment Interactions, Multidisciplinary
Frontiers in Sustainable Cities, Engineering & Technology
HNPS Advances in Nuclear Physics, Physical Sciences
International Journal of Environmental Science and Technology, Engineering & Technology
Terra Nova, Multidisciplinary
Frontiers in Marine Science, Multidisciplinary
Communications Earth & Environment, Humanities
ISPRS Journal of Photogrammetry and Remote Sensing, Engineering & Technology
Research Ideas and Outcomes, Multidisciplinary
Ocean science, Multidisciplinary
Quaternary Science Reviews, Multidisciplinary
Science of Remote Sensing, Multidisciplinary
Ethics Medicine and Public Health, Humanities
Molecular Medicine, Life Sciences
Cancer Reports, Multidisciplinary
Discover Oncology, Life Sciences
Phytochemical Analysis, Physical Sciences
Bone, Multidisciplinary
Journal of Developmental Biology, Life Sciences
Journal of Anatomy, Engineering & Technology
Molecular Biology and Evolution, Life Sciences
Polar Biology, Life Sciences
Genome Biology and Evolution, Life Sciences
Differentiation, Multidisciplinary
Clinical ophthalmology, Life Sciences
Virulence, Multidisciplinary
Biosensors, Multidisciplinary
Annals of Hematology, Multidisciplinary
Blood Cancer Journal, Multidisciplinary
Journal of Material Science and Technology, Engineering & Technology
Breast Cancer Research, Multidisciplinary
Biomimetics, Multidisciplinary
Translational Lung Cancer Research, Multidisciplinary
The Journal of Prevention of Alzheimer s Disease, Engineering & Technology
Frontiers in Artificial Intelligence, Humanities
European Heart Journal, Humanities
BMJ Open Respiratory Research, Multidisciplinary
Vascular Pharmacology, Life Sciences
American Heart Journal Plus Cardiology Research and Practice, Humanities
Journal of Cardiovascular Magnetic Resonance, Engineering & Technology
European Journal of Heart Failure, Humanities
The Lancet, Multidisciplinary
Computational Statistics, Multidisciplinary
Computational Statistics & Data Analysis, Multidisciplinary
Annals of Maxillofacial Surgery, Multidisciplinary
Medical Forum Monthly, Life Sciences
Microscopy Research and Technique, Multidisciplinary
The Open Dentistry Journal, Multidisciplinary
Transport in Porous Media, Social Sciences
American Journal of Ophthalmology, Engineering & Technology
Food Hydrocolloids, Multidisciplinary
JACC Asia, Multidisciplinary
Journal of Food Process Engineering, Engineering & Technology
Clinical Kidney Journal, Life Sciences
Nephrology and Dialysis, Multidisciplinary
Blood Purification, Multidisciplinary
Glomerular Diseases, Multidisciplinary
British Journal of General Practice, Engineering & Technology
International Wound Journal, Multidisciplinary
Trends in biotechnology, Engineering & Technology
Blood Advances, Multidisciplinary
Journal of Patient-Reported Outcomes, Engineering & Technology
American Journal of Kidney Diseases, Engineering & Technology
Kidney Medicine, Life Sciences
Journal of Vascular Surgery, Engineering & Technology
Frontiers in Nephrology, Multidisciplinary
East Asian Journal of Multidisciplinary Research, Multidisciplinary
Formosa Journal of Multidisciplinary Research, Multidisciplinary
Scientific Visualization, Multidisciplinary
BMC Medicine, Life Sciences
Age and Ageing, Multidisciplinary
The British Journal of Psychiatry, Engineering & Technology
Journal of Affective Disorders, Engineering & Technology
Family Process, Multidisciplinary
Journal of public health research, Life Sciences
Iraqi Journal of Pharmaceutical Sciences ( P-ISSN 1683 - 3597 E-ISSN 2521 - 3512), Life Sciences
International Journal of Hydrogen Energy, Physical Sciences
Molecules, Multidisciplinary
Frontiers in Food Science and Technology, Engineering & Technology
Journal of Hospital Infection, Engineering & Technology
New Biotechnology, Engineering & Technology
Apmis, Multidisciplinary
Ground Water, Multidisciplinary
Discover Applied Sciences, Multidisciplinary
Aquatic Geochemistry, Physical Sciences
Nature Geoscience, Physical Sciences
Geochimica et Cosmochimica Acta, Multidisciplinary
Earth system science data, Humanities
ACS Earth and Space Chemistry, Humanities
Geophysical Research Letters, Engineering & Technology
Discover Water, Multidisciplinary
npj Space Exploration, Multidisciplinary
Icarus, Multidisciplinary
npj Climate and Atmospheric Science, Physical Sciences
International Journal of Multidisciplinary Approach Research and Science, Multidisciplinary
MSJ Majority Science Journal, Multidisciplinary
Jurnal Masyarakat Mengabdi Nusantara, Multidisciplinary
Cerdika Jurnal Ilmiah Indonesia, Multidisciplinary
Ulumul Qur an Jurnal Kajian Ilmu Al-Qur an dan Tafsir, Multidisciplinary
Abdimas Indonesian Journal, Multidisciplinary
Jurnal Ilmiah Manajemen dan Akuntansi, Multidisciplinary
Jurnal Ekonomi dan Bisnis Indonesia, Multidisciplinary
Pajak dan Manajemen Keuangan, Multidisciplinary
BMC Biology, Life Sciences
Cell Reports, Multidisciplinary
Journal of Controlled Release, Engineering & Technology
Experimental Neurology, Life Sciences
LWT, Multidisciplinary
Infectious Diseases Now, Multidisciplinary
Polish Journal of Environmental Studies, Engineering & Technology
Environmental Management, Business & Economics
International Journal of Legal Medicine, Social Sciences
Journal of the mechanical behavior of biomedical materials/Journal of mechanical behavior of biomedical materials, Engineering & Technology
Sports, Multidisciplinary
Forensic Science International, Multidisciplinary
Alzheimer s Research & Therapy, Multidisciplinary
The Journal of Frailty & Aging, Engineering & Technology
ScienceBank, Multidisciplinary
Value in Health, Life Sciences
Journal of Cognitive Enhancement, Engineering & Technology
JVS-Vascular Insights, Multidisciplinary
Clinical Autonomic Research, Life Sciences
Experimental Physiology, Life Sciences
The American Journal of Cardiology, Engineering & Technology
British Journal of Sports Medicine, Life Sciences
Sustainable Energy Grids and Networks, Engineering & Technology
Energy Sustainable Development/Energy for sustainable development, Engineering & Technology
Energy, Physical Sciences
Energy Strategy Reviews, Business & Economics
Utilities Policy, Social Sciences
Wiley Interdisciplinary Reviews Energy and Environment, Physical Sciences
Satellite Navigation, Multidisciplinary
GPS Solutions, Multidisciplinary
Food Quality and Preference, Multidisciplinary
Cleaner and Responsible Consumption, Multidisciplinary
Agribusiness, Business & Economics
Mechanical sciences, Engineering & Technology
Vibroengineering PROCEDIA, Engineering & Technology
International Agrophysics, Physical Sciences
Ekonomia/Acta Universitatis Wratislaviensis. Ekonomia, Multidisciplinary
Quality & Quantity, Multidisciplinary
Przedsiębiorczość Międzynarodowa, Multidisciplinary
Production Engineering Archives, Engineering & Technology
International Journal of Applied Pharmaceutics, Engineering & Technology
Tropical Journal of Natural Product Research, Engineering & Technology
INDONESIAN JOURNAL OF PHARMACY, Engineering & Technology
Sciences of Pharmacy, Multidisciplinary
Financial and credit systems prospects for development, Business & Economics
Banks and Bank Systems, Engineering & Technology
Translational Pediatrics, Life Sciences
